S.No.,Country,2008-2009,%Share,2009-2010,%Share2,2010-2011,%Share3,2011-2012,%Share4,2012-2013,%Share5,2013-2014,%Share6,2014-2015,%Share7,2015-2016,%Share8,2016-2017,%Share9,2017-2018,%Share10,2018-2019,%Share11,2019-2020,%Share12,2020-2021,%Share13,2021-2022,%Share14,2022-2023,%Share15,2023-2024,%Share16,2024-2025,%Share17,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,Sum of Exp,Sum of Imp,Diff of imp And Exp,Ave Imp per Country,Ave exp per Country,Ave Imp share ,Ave exp share
1,AFGHANISTAN,"1,82,344.16",0.2169,"2,20,362.72",0.2606,"1,92,084.44",0.1689,"2,42,911.61",0.1657,"2,56,913.51",0.1572,"2,87,887.63",0.1511,"2,58,129.99",0.1361,"3,43,603.32",0.2002,"3,39,681.55",0.1837,"4,57,689.46",0.2339,"4,99,237.48",0.2163,"7,08,458.49",0.3191,"6,10,620.02",0.2828,"4,12,904.21",0.1312,"3,49,497.81",0.0965,"2,94,271.23",0.0813,"52,978.61",0.0847,"59,245.85",0.0431,"59,040.37",0.0433,"66,202.40",0.0393,"64,285.52",0.0274,"86,097.21",0.0323,"1,28,759.29",0.0474,"1,61,292.04",0.0589,"2,02,947.88",0.0815,"1,96,747.09",0.0763,"2,79,662.29",0.0932,"3,07,843.46",0.0856,"3,76,560.85",0.112,"3,75,347.66",0.1287,"3,80,601.68",0.0832,"3,65,263.37",0.0635,"5,32,702.47",0.0952,"57,09,576.24","36,42,599.43","20,66,976.81",214270.5547,317198.68,0.065347059,0.171455556
2,ALBANIA,"5,589.70",0.0066,"4,027.54",0.0048,"5,227.48",0.0046,"6,067.02",0.0041,"9,516.13",0.0058,"11,452.04",0.006,"11,864.20",0.0063,"15,761.32",0.0092,"17,712.46",0.0096,"18,899.84",0.0097,"25,841.91",0.0112,"31,304.91",0.0141,"34,619.48",0.016,"41,040.28",0.013,"2,82,091.42",0.0779,"9,55,574.35",0.264,"10,652.75",0.017,81.46,0.0001,130.18,0.0001,52.19,0,"63,505.11",0.0271,"16,657.10",0.0062,"1,24,358.56",0.0458,"30,133.36",0.011,"11,392.27",0.0046,"4,375.42",0.0017,"25,075.76",0.0084,"15,963.93",0.0044,"33,538.49",0.01,"6,093.21",0.0021,"22,882.81",0.005,"8,467.62",0.0015,"6,299.06",0.0011,"14,87,242.83","3,69,006.53","11,18,236.30",21706.26647,82624.60167,0.007594118,0.026661111
3,ALGERIA,"2,99,636.27",0.3564,"2,73,710.63",0.3237,"3,55,787.00",0.3129,"3,99,229.96",0.2723,"5,93,469.61",0.3631,"6,45,013.91",0.3386,"6,49,379.34",0.3424,"5,13,489.40",0.2992,"5,64,343.84",0.3051,"5,30,692.45",0.2712,"6,57,528.82",0.2849,"4,31,687.12",0.1945,"4,39,809.69",0.2037,"5,23,800.52",0.1664,"4,93,476.51",0.1363,"7,02,538.33",0.1941,"1,19,885.96",0.1916,"4,51,753.95",0.3287,"4,64,561.87",0.3407,"8,27,286.04",0.4914,"10,18,718.86",0.4343,"3,71,539.82",0.1392,"5,23,166.26",0.1927,"3,37,952.50",0.1235,"1,97,212.09",0.0792,"4,05,542.09",0.1573,"8,13,219.02",0.271,"11,89,954.07",0.331,"14,12,219.37",0.4202,"3,02,507.82",0.1037,"7,49,422.88",0.1639,"12,13,038.98",0.211,"7,34,998.00",0.1314,"81,93,479.36","1,10,13,093.62","-28,19,614.26",647829.0365,455193.2978,0.230541176,0.253133333
4,AMERI SAMOA,58.26,0.0001,40.45,0,92.93,0.0001,975.04,0.0007,198.71,0.0001,31.12,0,117.44,0.0001,100.4,0.0001,51.64,0,199.72,0.0001,18.08,0,90.71,0,433.28,0.0002,578.07,0.0002,22.64,0,"3,440.25",0.001,814.21,0.0013,114.02,0.0001,161.08,0.0001,70.07,0,657.08,0.0003,421.7,0.0002,81,0,404.12,0.0001,739.29,0.0003,92.66,0,195.42,0.0001,0.35,0,"2,195.86",0.0007,725.72,0.0002,1.88,0,13.93,0,39.6,0,"7,262.95","5,913.78","1,349.17",347.8694118,403.4972222,0.000123529,0.000222222
5,ANDORRA,412.37,0.0005,96.49,0.0001,120.35,0.0001,125.48,0.0001,58.51,0,74.07,0,156.23,0.0001,76.71,0,97.23,0.0001,"3,076.34",0.0016,231.83,0.0001,55.29,0,15.16,0,36.8,0,181.19,0.0001,262.29,0.0001,814.21,0.0013,40.8,0,1.95,0,3.25,0,15.91,0,5.18,0,0.16,0,"3,285.62",0.0012,0.13,0,59.88,0,195.42,  ,27.22,0,24.05,0,4.78,0,1.88,  ,0.16,0,39.07,0,"5,890.55","3,705.46","2,185.09",217.9682353,327.2527778,0.00008,0.000233333
6,ANGOLA,"1,70,381.68",0.2027,"3,00,573.43",0.3555,"3,06,051.00",0.2692,"2,20,531.54",0.1504,"2,65,962.37",0.1627,"3,26,612.13",0.1714,"3,37,765.80",0.1781,"1,45,440.44",0.0847,"1,03,721.20",0.0561,"1,51,360.51",0.0774,"1,97,413.38",0.0855,"2,01,921.52",0.091,"1,92,123.42",0.089,"3,37,797.68",0.1073,"4,99,169.47",0.1378,"5,78,303.97",0.1598,"62,785.79",0.1004,"6,53,900.05",0.4758,"20,01,769.68",1.4679,"23,27,303.79",1.3824,"31,86,848.18",1.3587,"38,94,642.34",1.4591,"36,65,135.82",1.3497,"28,11,832.13",1.0273,"17,98,417.69",0.7222,"17,40,617.22",0.6753,"27,86,327.74",0.9285,"28,14,652.81",0.783,"25,83,209.32",0.7686,"13,90,885.64",0.477,"20,36,232.18",0.4453,"28,95,132.30",0.5035,"28,95,918.90",0.5178,"43,97,915.33","3,94,82,825.79","-3,50,84,910.46",2322519.164,244328.6294,0.843652941,0.137722222
7,ANGUILLA,39.04,0,23.2,0,77.08,0.0001,54.4,0,78.77,0,14.34,0,30.46,0,10.39,0,28.28,0,324.08,0.0002,113.38,0,31.68,0,37.51,0,67.78,0,33.96,0,219.75,0.0001,18.51,0,17.51,0,33.81,0,3.23,0,61.18,0,0.13,0,3665135.82,  ,40.77,0,3.84,0,0.77,0,118.41,0,129.85,0,68.72,0,132.06,0,21.08,0,22.31,0,244.4,0,"1,202.61","36,66,033.89","-36,64,831.28",215649.0524,66.81166667,0,2.22E-05
8,ANTARTICA,39.04,0,47.57,0.0001,76.99,0.0001,30.87,0,92.58,0.0001,36.87,0,2.26,0,0.92,0,28.28,0,64.65,0,2.34,0,15.09,0,768.86,0.0004,56.01,0,83.86,0,215.44,0.0001,3.17,0,35.38,0,6.44,0,35.1,0,200.55,0.0001,0.13,0,222.93,0.0001,"3,010.33",0.0011,704.21,0.0003,333.89,0.0001,31.95,0,22.98,0,53.3,0,491.69,0.0002,910.99,0.0002,707.03,0.0001,419.31,0.0001,"1,564.80","7,186.21","-5,621.41",422.7182353,86.93333333,0.000135294,4.44E-05
9,ANTIGUA,"1,314.82",0.0016,692.58,0.0008,429.26,0.0004,417.89,0.0003,738.06,0.0005,"1,339.51",0.0007,"1,278.97",0.0007,"1,680.01",0.001,"1,327.55",0.0007,"1,394.67",0.0007,"1,886.81",0.0008,"1,549.69",0.0007,"1,191.35",0.0006,"1,846.21",0.0006,"2,339.83",0.0006,"12,341.80",0.0034,805.82,0.0013,"2,34,594.26",0.1707,"3,16,135.28",0.2318,"7,276.60",0.0043,28.46,0,118.63,0,26.34,0,301.51,0.0001,5.9,0,0.94,0,15.31,0,106.63,0,139.91,0,104.94,0,99.45,0,419.68,0.0001,697.3,0.0001,"32,574.83","5,60,071.14","-5,27,496.31",32945.36118,1809.712778,0.023947059,0.000855556
10,ARGENTINA,"1,60,966.71",0.1915,"1,27,646.97",0.151,"1,84,270.42",0.1621,"2,27,644.41",0.1553,"2,94,094.08",0.1799,"3,70,833.15",0.1947,"2,81,084.40",0.1482,"3,50,982.49",0.2045,"3,42,382.01",0.1851,"4,56,702.56",0.2334,"3,91,032.85",0.1694,"5,42,861.50",0.2445,"5,08,761.93",0.2356,"10,66,132.05",0.3388,"7,66,711.04",0.2117,"8,99,051.77",0.2484,"1,45,477.44",0.2325,"1,276.40",0.0009,"1,403.26",0.001,"4,69,004.96",0.2786,"5,21,481.14",0.2223,"6,50,435.38",0.2437,"8,15,532.36",0.3003,"12,16,692.17",0.4445,"16,25,135.05",0.6526,"16,76,299.53",0.6503,"14,36,507.43",0.4787,"13,61,496.66",0.3788,"16,50,963.50",0.4912,"19,46,338.08",0.6675,"31,32,905.93",0.6851,"31,43,272.31",0.5467,"20,64,084.39",0.3691,"71,16,635.78","2,17,12,828.55","-1,45,96,192.77",1277225.209,395368.6544,0.377135294,0.1937
