S.No.,Country,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,,Ave Imp,Ave Share
1,AFGHANISTAN,"59,245.85",0.0431,"59,040.37",0.0433,"66,202.40",0.0393,"64,285.52",0.0274,"86,097.21",0.0323,"1,28,759.29",0.0474,"1,61,292.04",0.0589,"2,02,947.88",0.0815,"1,96,747.09",0.0763,"2,79,662.29",0.0932,"3,07,843.46",0.0856,"3,76,560.85",0.112,"3,75,347.66",0.1287,"3,80,601.68",0.0832,"3,65,263.37",0.0635,"5,32,702.47",0.0952,,"2,27,662.46",0.06943125
2,ALBANIA,81.46,0.0001,130.18,0.0001,52.19,0,"63,505.11",0.0271,"16,657.10",0.0062,"1,24,358.56",0.0458,"30,133.36",0.011,"11,392.27",0.0046,"4,375.42",0.0017,"25,075.76",0.0084,"15,963.93",0.0044,"33,538.49",0.01,"6,093.21",0.0021,"22,882.81",0.005,"8,467.62",0.0015,"6,299.06",0.0011,,"23,062.91",0.00806875
3,ALGERIA,"4,51,753.95",0.3287,"4,64,561.87",0.3407,"8,27,286.04",0.4914,"10,18,718.86",0.4343,"3,71,539.82",0.1392,"5,23,166.26",0.1927,"3,37,952.50",0.1235,"1,97,212.09",0.0792,"4,05,542.09",0.1573,"8,13,219.02",0.271,"11,89,954.07",0.331,"14,12,219.37",0.4202,"3,02,507.82",0.1037,"7,49,422.88",0.1639,"12,13,038.98",0.211,"7,34,998.00",0.1314,,"6,88,318.35",0.24495
4,AMERI SAMOA,114.02,0.0001,161.08,0.0001,70.07,0,657.08,0.0003,421.7,0.0002,81,0,404.12,0.0001,739.29,0.0003,92.66,0,195.42,0.0001,0.35,0,"2,195.86",0.0007,725.72,0.0002,1.88,0,13.93,0,39.6,0,,369.61,0.00013125
5,ANDORRA,40.8,0,1.95,0,3.25,0,15.91,0,5.18,0,0.16,0,"3,285.62",0.0012,0.13,0,59.88,0,195.42,  ,27.22,0,24.05,0,4.78,0,1.88,  ,0.16,0,39.07,0,,231.59,8.57E-05
6,ANGOLA,"6,53,900.05",0.4758,"20,01,769.68",1.4679,"23,27,303.79",1.3824,"31,86,848.18",1.3587,"38,94,642.34",1.4591,"36,65,135.82",1.3497,"28,11,832.13",1.0273,"17,98,417.69",0.7222,"17,40,617.22",0.6753,"27,86,327.74",0.9285,"28,14,652.81",0.783,"25,83,209.32",0.7686,"13,90,885.64",0.477,"20,36,232.18",0.4453,"28,95,132.30",0.5035,"28,95,918.90",0.5178,,"24,67,676.61",0.89638125
7,ANGUILLA,17.51,0,33.81,0,3.23,0,61.18,0,0.13,0,3665135.82,  ,40.77,0,3.84,0,0.77,0,118.41,0,129.85,0,68.72,0,132.06,0,21.08,0,22.31,0,244.4,0,,"2,29,127.12",0
8,ANTARTICA,35.38,0,6.44,0,35.1,0,200.55,0.0001,0.13,0,222.93,0.0001,"3,010.33",0.0011,704.21,0.0003,333.89,0.0001,31.95,0,22.98,0,53.3,0,491.69,0.0002,910.99,0.0002,707.03,0.0001,419.31,0.0001,,449.14,0.00014375
9,ANTIGUA,"2,34,594.26",0.1707,"3,16,135.28",0.2318,"7,276.60",0.0043,28.46,0,118.63,0,26.34,0,301.51,0.0001,5.9,0,0.94,0,15.31,0,106.63,0,139.91,0,104.94,0,99.45,0,419.68,0.0001,697.3,0.0001,,"35,004.45",0.02544375
10,ARGENTINA,"1,276.40",0.0009,"1,403.26",0.001,"4,69,004.96",0.2786,"5,21,481.14",0.2223,"6,50,435.38",0.2437,"8,15,532.36",0.3003,"12,16,692.17",0.4445,"16,25,135.05",0.6526,"16,76,299.53",0.6503,"14,36,507.43",0.4787,"13,61,496.66",0.3788,"16,50,963.50",0.4912,"19,46,338.08",0.6675,"31,32,905.93",0.6851,"31,43,272.31",0.5467,"20,64,084.39",0.3691,,"13,57,051.78",0.40070625
11,ARMENIA,8.3,0,1403.26,  ,"3,224.82",0.0019,"2,891.22",0.0012,810.6,0.0003,"1,043.16",0.0004,500.47,0.0002,"9,286.74",0.0037,704.48,0.0003,418.49,0.0001,629.32,0.0002,"1,102.56",0.0003,"70,814.42",0.0243,"1,00,618.92",0.022,"57,899.70",0.0101,"29,829.32",0.0053,,"17,574.11",0.004686667
12,ARUBA,"50,49,651.71",3.674,"58,66,199.07",4.3016,864.3,0.0005,54.17,0,128.88,0,83.34,0,17.21,0,195.3,0.0001,"2,850.27",0.0011,257.77,0.0001,382.45,0.0001,215.68,0.0001,597.69,0.0002,"1,314.69",0.0003,622.38,0.0001,972.2,0.0002,,"6,82,775.44",0.49865
